Exam Flag	Course Code	Course Name	Part	Sem
PG_SEMESTER_2Y_CBCS	752	(CBCS_PG) M.SC. FORENSIC SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	753	(CBCS_PG) M.SC. GENETICS	II	III
PG_SEMESTER_2Y_CBCS	754	(CBCS_PG) M.SC. GEOLOGY	II	III
PG_SEMESTER_2Y_CBCS	755	(CBCS_PG) M.SC. HUMAN DEVELOPMENT AND CHILDHOOD STUDIES	II	III
PG_SEMESTER_2Y_CBCS	756	(CBCS_PG) M.SC. INFORMATICS	II	III
PG_SEMESTER_2Y_CBCS	757	(CBCS_PG) MASTER OF COMPUTER APPLICATIONS	II	III
PG_SEMESTER_2Y_CBCS	758	(CBCS_PG) M.SC. MATHEMATICS	II	III
PG_SEMESTER_2Y_CBCS	759	(CBCS_PG) (C.I.C) M.SC. MATHEMATICS EDUCATION	II	III
PG_SEMESTER_2Y_CBCS	760	(CBCS_PG) M.SC. MICROBIOLOGY	II	III
PG_SEMESTER_2Y_CBCS	761	(CBCS_PG) MASTER OF OPERATIONAL RESEARCH	II	III
PG_SEMESTER_2Y_CBCS	762	(CBCS_PG) M.SC. PHYSICS	II	III
PG_SEMESTER_2Y_CBCS	763	(CBCS_PG) M.SC. PLANT MOLECULAR BIOLOGY AND BIOTECHNOLOGY	II	III
PG_SEMESTER_2Y_CBCS	764	(CBCS_PG) M.SC. RESOURCE MANAGEMENT AND DESIGN APPLICATION DEPARTMENT OF HOME SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	765	(CBCS_PG) M.SC. STATISTICS	II	III
PG_SEMESTER_2Y_CBCS	766	(CBCS_PG) M.SC. ZOOLOGY	II	III
PG_SEMESTER_2Y_CBCS	767	(CBCS_PG) M.SC. FABRIC & APPAREL SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	774	(CBCS_PG) MASTER OF COMMERCE	II	III
PG_SEMESTER_2Y_CBCS	775	(CBCS_PG) MBA BUSINESS ECONOMICS	II	III
PG_SEMESTER_2Y_CBCS	776	(CBCS_PG) MBA FINANCE	II	III
PG_SEMESTER_2Y_CBCS	777	(CBCS_PG) MBA	II	III
PG_SEMESTER_2Y_CBCS	778	(CBCS_PG) MBA- EXECUTIVE	II	III
PG_SEMESTER_2Y_CBCS	779	(CBCS_PG) MBA: (EXECUTIVE) HEALTH CARE ADMINISTRATION	II	III
PG_SEMESTER_2Y_CBCS	798	(CBCS_PG) MBA (HRD)	II	III
PG_SEMESTER_2Y_CBCS	799	(CBCS_PG) MBA (IB)	II	III
PG_SEMESTER_2Y_CBCS	757	(CBCS_PG) MASTER OF COMPUTER APPLICATIONS	III	V
